timestamp_ns,device_name,rssi
29761788000,2-lvl-node-2,-80
29767208000,2-lvl-node-2,-81
29783082000,2-lvl-node-3,-70
29803036000,2-lvl-node-1,-41
29862456000,2-lvl-node-2,-75
29898233000,2-lvl-node-1,-40
29980631000,2-lvl-node-3,-72
30012873000,2-lvl-node-1,-43
30069129000,2-lvl-node-2,-85
30122768000,2-lvl-node-1,-42
30182997000,2-lvl-node-2,-79
30187385000,2-lvl-node-2,-78
30192624000,2-lvl-node-3,-83
30222881000,2-lvl-node-1,-45
30282995000,2-lvl-node-2,-72
30287299000,2-lvl-node-2,-73
30303071000,2-lvl-node-3,-70
30307404000,2-lvl-node-3,-69
30319208000,2-lvl-node-1,-43
30326095000,2-lvl-node-1,-78
30381109000,2-lvl-node-2,-77
30400155000,2-lvl-node-3,-79
30433080000,2-lvl-node-1,-42
30438643000,2-lvl-node-1,-41
30492990000,2-lvl-node-2,-78
30513035000,2-lvl-node-3,-65
30517375000,2-lvl-node-3,-66
30589371000,2-lvl-node-2,-70
30623032000,2-lvl-node-3,-65
30627420000,2-lvl-node-3,-64
30641163000,2-lvl-node-1,-40
30645529000,2-lvl-node-1,-41
30703038000,2-lvl-node-2,-77
30718060000,2-lvl-node-3,-68
30749343000,2-lvl-node-1,-40
30803093000,2-lvl-node-2,-76
30808521000,2-lvl-node-2,-78
30863082000,2-lvl-node-1,-43
30920019000,2-lvl-node-3,-75
30961318000,2-lvl-node-1,-42
31019702000,2-lvl-node-2,-72
31033033000,2-lvl-node-3,-70
31119769000,2-lvl-node-2,-73
31124081000,2-lvl-node-2,-72
31129227000,2-lvl-node-3,-68
31134749000,2-lvl-node-3,-69
31179736000,2-lvl-node-1,-40
31184087000,2-lvl-node-1,-41
31188350000,2-lvl-node-2,-73
31243072000,2-lvl-node-3,-90
31247409000,2-lvl-node-3,-87
31290196000,2-lvl-node-2,-72
31296342000,2-lvl-node-1,-42
31353097000,2-lvl-node-3,-86
31358596000,2-lvl-node-3,-83
31389178000,2-lvl-node-2,-77
31395380000,2-lvl-node-2,-76
31463100000,2-lvl-node-3,-72
31576237000,2-lvl-node-3,-65
31592552000,2-lvl-node-1,-43
31599383000,2-lvl-node-2,-78
31672896000,2-lvl-node-3,-73
31699312000,2-lvl-node-1,-42
31706645000,2-lvl-node-1,-41
31770076000,2-lvl-node-3,-66
31774482000,2-lvl-node-3,-64
31802519000,2-lvl-node-1,-45
