timestamp_ns,device_name,rssi
84483158000,2-lvl-node-3,-45
84561509000,2-lvl-node-1,-65
84565837000,2-lvl-node-1,-64
84667958000,2-lvl-node-1,-63
84672341000,2-lvl-node-1,-64
84678814000,2-lvl-node-3,-44
84735716000,2-lvl-node-2,-79
84788272000,2-lvl-node-3,-41
84792764000,2-lvl-node-3,-42
84853176000,2-lvl-node-2,-66
84883018000,2-lvl-node-1,-62
84887396000,2-lvl-node-1,-63
84903373000,2-lvl-node-3,-41
84963175000,2-lvl-node-2,-65
84967642000,2-lvl-node-2,-66
84979739000,2-lvl-node-1,-61
84984054000,2-lvl-node-1,-81
85056759000,2-lvl-node-2,-68
85088535000,2-lvl-node-1,-69
85193959000,2-lvl-node-1,-68
85199498000,2-lvl-node-3,-47
85204022000,2-lvl-node-3,-77
85208416000,2-lvl-node-2,-64
85213946000,2-lvl-node-2,-80
85218436000,2-lvl-node-3,-49
85273135000,2-lvl-node-2,-60
85289489000,2-lvl-node-1,-72
85309115000,2-lvl-node-3,-51
85373125000,2-lvl-node-2,-65
85377593000,2-lvl-node-2,-64
85403071000,2-lvl-node-1,-69
85407446000,2-lvl-node-1,-80
85418645000,2-lvl-node-3,-50
85423149000,2-lvl-node-3,-49
85449683000,2-lvl-node-3,-77
85499569000,2-lvl-node-1,-66
85553375000,2-lvl-node-3,-42
85598327000,2-lvl-node-2,-62
85603968000,2-lvl-node-3,-43
85663187000,2-lvl-node-3,-41
85682383000,2-lvl-node-2,-65
85688007000,2-lvl-node-2,-64
85723048000,2-lvl-node-1,-73
85763170000,2-lvl-node-3,-47
85791197000,2-lvl-node-2,-76
85822858000,2-lvl-node-1,-62
85873182000,2-lvl-node-3,-46
85898416000,2-lvl-node-2,-72
85930359000,2-lvl-node-1,-69
85983178000,2-lvl-node-3,-45
86001830000,2-lvl-node-2,-63
86006365000,2-lvl-node-2,-64
86043055000,2-lvl-node-1,-63
86047392000,2-lvl-node-1,-78
86083318000,2-lvl-node-3,-47
86111025000,2-lvl-node-2,-71
86143025000,2-lvl-node-1,-74
86193265000,2-lvl-node-3,-51
86223115000,2-lvl-node-2,-78
86238259000,2-lvl-node-1,-64
86303177000,2-lvl-node-3,-46
86322976000,2-lvl-node-2,-71
86340132000,2-lvl-node-1,-66
86402788000,2-lvl-node-3,-47
86433128000,2-lvl-node-2,-73
86437652000,2-lvl-node-2,-72
86443020000,2-lvl-node-1,-65
86448433000,2-lvl-node-1,-81
86508431000,2-lvl-node-3,-49
86533140000,2-lvl-node-2,-75
86553023000,2-lvl-node-1,-64
86620490000,2-lvl-node-3,-54
86626042000,2-lvl-node-3,-55
86643230000,2-lvl-node-2,-82
86648700000,2-lvl-node-1,-77
86653062000,2-lvl-node-2,-81
86743007000,2-lvl-node-2,-72
86763056000,2-lvl-node-1,-74
86767345000,2-lvl-node-1,-73
86828582000,2-lvl-node-3,-47
86849518000,2-lvl-node-1,-68
86854019000,2-lvl-node-2,-84
86944171000,2-lvl-node-2,-83
86948690000,2-lvl-node-3,-54
86958503000,2-lvl-node-1,-71
87043197000,2-lvl-node-3,-53
87048655000,2-lvl-node-2,-71
87073010000,2-lvl-node-1,-69
87077410000,2-lvl-node-1,-76
87163180000,2-lvl-node-2,-74
87252133000,2-lvl-node-3,-57
87257284000,2-lvl-node-2,-70
87281986000,2-lvl-node-1,-75
87360925000,2-lvl-node-2,-69
87366618000,2-lvl-node-2,-68
87371071000,2-lvl-node-3,-60
87388654000,2-lvl-node-1,-81
87463196000,2-lvl-node-3,-55
87469471000,2-lvl-node-2,-75
87503035000,2-lvl-node-1,-74
87507382000,2-lvl-node-1,-73
87573227000,2-lvl-node-3,-50
87578683000,2-lvl-node-2,-70
87584265000,2-lvl-node-2,-69
87613056000,2-lvl-node-1,-68
87673338000,2-lvl-node-3,-49
87678736000,2-lvl-node-2,-61
87723039000,2-lvl-node-1,-67
87819074000,2-lvl-node-1,-70
87823373000,2-lvl-node-1,-69
87922899000,2-lvl-node-1,-60
87989559000,2-lvl-node-3,-47
87995039000,2-lvl-node-2,-57
87999440000,2-lvl-node-2,-56
88031388000,2-lvl-node-1,-64
88101544000,2-lvl-node-2,-58
88107189000,2-lvl-node-2,-59
88111606000,2-lvl-node-3,-41
88140758000,2-lvl-node-1,-69
88145127000,2-lvl-node-1,-68
88309175000,2-lvl-node-2,-67
88350575000,2-lvl-node-1,-64
88411352000,2-lvl-node-3,-47
88416498000,2-lvl-node-2,-62
88421019000,2-lvl-node-3,-46
88450581000,2-lvl-node-1,-67
89088690000,2-lvl-node-2,-70
89093468000,2-lvl-node-3,-56
