timestamp_ns,device_name,rssi
21222232000,2-lvl-node-1,-58
21301584000,2-lvl-node-3,-66
21330543000,2-lvl-node-1,-50
21413061000,2-lvl-node-3,-67
21431257000,2-lvl-node-1,-60
21512903000,2-lvl-node-3,-75
21533188000,2-lvl-node-1,-55
21554344000,2-lvl-node-2,-87
21612968000,2-lvl-node-3,-66
21641695000,2-lvl-node-2,-86
21647887000,2-lvl-node-1,-48
21719301000,2-lvl-node-3,-69
21738802000,2-lvl-node-1,-39
21743072000,2-lvl-node-1,-40
21833005000,2-lvl-node-3,-76
21849051000,2-lvl-node-1,-39
21853371000,2-lvl-node-2,-87
21932879000,2-lvl-node-3,-72
21951385000,2-lvl-node-1,-41
22049866000,2-lvl-node-2,-76
22055926000,2-lvl-node-1,-55
22061382000,2-lvl-node-2,-77
22138609000,2-lvl-node-3,-65
22163027000,2-lvl-node-2,-86
22242817000,2-lvl-node-3,-61
22260604000,2-lvl-node-2,-81
22266888000,2-lvl-node-1,-44
22351681000,2-lvl-node-3,-69
22360602000,2-lvl-node-2,-82
22364852000,2-lvl-node-2,-81
22383063000,2-lvl-node-1,-45
22387389000,2-lvl-node-1,-43
22451707000,2-lvl-node-3,-64
22456049000,2-lvl-node-3,-65
22469145000,2-lvl-node-2,-85
22478786000,2-lvl-node-1,-50
22552936000,2-lvl-node-3,-69
22557217000,2-lvl-node-3,-68
22583758000,2-lvl-node-1,-61
22589283000,2-lvl-node-2,-82
22658259000,2-lvl-node-3,-76
22662609000,2-lvl-node-3,-75
22682336000,2-lvl-node-2,-76
22688764000,2-lvl-node-1,-55
22760213000,2-lvl-node-3,-73
22791581000,2-lvl-node-1,-66
22795950000,2-lvl-node-2,-72
22869605000,2-lvl-node-3,-66
22891760000,2-lvl-node-2,-81
22897171000,2-lvl-node-1,-52
22901439000,2-lvl-node-2,-82
22969626000,2-lvl-node-3,-63
23000318000,2-lvl-node-1,-45
23004722000,2-lvl-node-2,-75
23008994000,2-lvl-node-2,-76
23072193000,2-lvl-node-3,-65
23077675000,2-lvl-node-3,-66
23103066000,2-lvl-node-2,-74
23107388000,2-lvl-node-2,-81
23112601000,2-lvl-node-1,-60
23181643000,2-lvl-node-3,-61
23211477000,2-lvl-node-1,-50
23282751000,2-lvl-node-3,-58
23301222000,2-lvl-node-2,-63
23305511000,2-lvl-node-2,-62
