timestamp_ns,device_name,rssi
26169590000,2-lvl-node-3,-62
26175350000,2-lvl-node-1,-64
26222565000,2-lvl-node-2,-65
26226841000,2-lvl-node-2,-67
26630459000,2-lvl-node-2,-62
26635781000,2-lvl-node-3,-66
26650674000,2-lvl-node-1,-67
26656476000,2-lvl-node-3,-62
26749273000,2-lvl-node-2,-69
26760896000,2-lvl-node-3,-63
26765249000,2-lvl-node-1,-69
26873595000,2-lvl-node-3,-79
26883998000,2-lvl-node-3,-80
26889932000,2-lvl-node-1,-65
26894232000,2-lvl-node-1,-80
26962527000,2-lvl-node-2,-57
26983249000,2-lvl-node-1,-61
26991130000,2-lvl-node-3,-75
27068479000,2-lvl-node-2,-60
27073661000,2-lvl-node-3,-71
27077817000,2-lvl-node-3,-76
27083211000,2-lvl-node-1,-58
27088700000,2-lvl-node-1,-78
27092854000,2-lvl-node-2,-76
27183346000,2-lvl-node-2,-69
27189488000,2-lvl-node-1,-70
27195592000,2-lvl-node-1,-69
27199780000,2-lvl-node-2,-70
27206612000,2-lvl-node-3,-69
27281062000,2-lvl-node-2,-60
27290622000,2-lvl-node-1,-72
27381207000,2-lvl-node-3,-72
27403088000,2-lvl-node-1,-80
27481324000,2-lvl-node-2,-61
27493088000,2-lvl-node-3,-71
27499545000,2-lvl-node-1,-68
27503821000,2-lvl-node-3,-72
27682308000,2-lvl-node-2,-63
27699824000,2-lvl-node-3,-78
27705307000,2-lvl-node-3,-79
27727620000,2-lvl-node-1,-75
27792139000,2-lvl-node-2,-67
27809805000,2-lvl-node-3,-76
27820583000,2-lvl-node-1,-78
27892356000,2-lvl-node-2,-71
27899759000,2-lvl-node-2,-70
27923088000,2-lvl-node-3,-61
27928128000,2-lvl-node-1,-76
27933481000,2-lvl-node-3,-76
27992175000,2-lvl-node-2,-75
27996386000,2-lvl-node-2,-74
28019307000,2-lvl-node-3,-61
28033060000,2-lvl-node-1,-80
28101620000,2-lvl-node-2,-63
28232797000,2-lvl-node-1,-71
28310979000,2-lvl-node-2,-60
28315367000,2-lvl-node-2,-61
28332504000,2-lvl-node-1,-73
28339422000,2-lvl-node-3,-69
28440176000,2-lvl-node-3,-68
28446591000,2-lvl-node-1,-74
28519812000,2-lvl-node-2,-74
28553164000,2-lvl-node-1,-73
29220236000,2-lvl-node-3,-67
29227959000,2-lvl-node-2,-58
29232202000,2-lvl-node-2,-76
29238894000,2-lvl-node-1,-68
29244365000,2-lvl-node-2,-69
29248564000,2-lvl-node-2,-76
29252955000,2-lvl-node-1,-73
29262717000,2-lvl-node-2,-55
29267196000,2-lvl-node-2,-72
29280038000,2-lvl-node-3,-72
29284442000,2-lvl-node-3,-71
29303058000,2-lvl-node-1,-87
29307420000,2-lvl-node-1,-84
29362951000,2-lvl-node-2,-59
29383147000,2-lvl-node-3,-77
29387527000,2-lvl-node-3,-76
29394339000,2-lvl-node-1,-79
29472286000,2-lvl-node-2,-60
29501369000,2-lvl-node-1,-78
29583023000,2-lvl-node-2,-62
29604591000,2-lvl-node-3,-88
29609792000,2-lvl-node-3,-89
29683002000,2-lvl-node-2,-60
29687329000,2-lvl-node-2,-61
29699319000,2-lvl-node-3,-82
29720832000,2-lvl-node-1,-77
29727127000,2-lvl-node-1,-78
30710854000,2-lvl-node-1,-77
30948348000,2-lvl-node-3,-59
30958812000,2-lvl-node-2,-59
31106667000,2-lvl-node-2,-63
31110985000,2-lvl-node-2,-64
31115290000,2-lvl-node-1,-82
31119533000,2-lvl-node-1,-83
31124843000,2-lvl-node-2,-58
31129237000,2-lvl-node-3,-60
31133489000,2-lvl-node-3,-76
31137854000,2-lvl-node-1,-81
31143237000,2-lvl-node-1,-80
31147588000,2-lvl-node-3,-59
31151878000,2-lvl-node-3,-60
31156124000,2-lvl-node-3,-59
31161550000,2-lvl-node-1,-74
31166106000,2-lvl-node-3,-79
31170475000,2-lvl-node-2,-62
31175161000,2-lvl-node-1,-86
31179790000,2-lvl-node-1,-85
31192732000,2-lvl-node-1,-81
31198149000,2-lvl-node-1,-80
31204142000,2-lvl-node-2,-63
31209647000,2-lvl-node-1,-81
31216193000,2-lvl-node-3,-72
31220500000,2-lvl-node-2,-61
31224840000,2-lvl-node-1,-87
31230535000,2-lvl-node-3,-70
31234771000,2-lvl-node-2,-60
31240214000,2-lvl-node-1,-78
31244480000,2-lvl-node-1,-77
31250001000,2-lvl-node-3,-73
31254326000,2-lvl-node-2,-57
31262319000,2-lvl-node-3,-84
31266829000,2-lvl-node-3,-60
31272683000,2-lvl-node-1,-85
31276851000,2-lvl-node-1,-81
31283726000,2-lvl-node-2,-79
31287975000,2-lvl-node-1,-83
31294287000,2-lvl-node-2,-60
31298503000,2-lvl-node-1,-81
31303773000,2-lvl-node-1,-80
31314136000,2-lvl-node-2,-63
31318423000,2-lvl-node-2,-64
31322724000,2-lvl-node-3,-80
31328355000,2-lvl-node-2,-61
31333629000,2-lvl-node-2,-60
31371315000,2-lvl-node-3,-82
31422256000,2-lvl-node-2,-58
31426574000,2-lvl-node-2,-76
31448727000,2-lvl-node-1,-84
31525047000,2-lvl-node-2,-58
31529306000,2-lvl-node-2,-76
31563078000,2-lvl-node-1,-83
31567480000,2-lvl-node-1,-84
31593113000,2-lvl-node-3,-77
31661836000,2-lvl-node-1,-81
31666183000,2-lvl-node-1,-82
31691125000,2-lvl-node-3,-71
31749107000,2-lvl-node-2,-73
31770151000,2-lvl-node-1,-88
31803097000,2-lvl-node-3,-60
31807464000,2-lvl-node-3,-61
31839760000,2-lvl-node-2,-72
31883051000,2-lvl-node-1,-80
31887482000,2-lvl-node-1,-81
31953447000,2-lvl-node-2,-71
31978296000,2-lvl-node-1,-86
31983811000,2-lvl-node-1,-85
32064496000,2-lvl-node-2,-68
32082124000,2-lvl-node-1,-80
32112539000,2-lvl-node-3,-78
32116944000,2-lvl-node-3,-77
32187967000,2-lvl-node-1,-82
32220962000,2-lvl-node-3,-76
32303005000,2-lvl-node-1,-81
32307342000,2-lvl-node-1,-82
32373246000,2-lvl-node-2,-61
32403050000,2-lvl-node-1,-79
32468368000,2-lvl-node-2,-64
32503140000,2-lvl-node-1,-75
32508663000,2-lvl-node-1,-74
32530142000,2-lvl-node-3,-73
32582453000,2-lvl-node-2,-72
32643051000,2-lvl-node-3,-74
32721989000,2-lvl-node-1,-73
