timestamp_ns,device_name,rssi
22160443000,2-lvl-node-3,-80
22170762000,2-lvl-node-1,-82
22270688000,2-lvl-node-1,-81
22274954000,2-lvl-node-1,-80
22668013000,2-lvl-node-2,-66
22679232000,2-lvl-node-3,-70
22683556000,2-lvl-node-3,-80
22702661000,2-lvl-node-1,-81
22723024000,2-lvl-node-2,-63
22727288000,2-lvl-node-2,-81
22815692000,2-lvl-node-2,-60
22819857000,2-lvl-node-2,-79
22901400000,2-lvl-node-3,-73
22914026000,2-lvl-node-1,-64
22921628000,2-lvl-node-2,-59
22928142000,2-lvl-node-2,-79
22938722000,2-lvl-node-1,-77
22947808000,2-lvl-node-3,-78
22990208000,2-lvl-node-3,-62
23023483000,2-lvl-node-1,-63
23092419000,2-lvl-node-3,-63
23096667000,2-lvl-node-3,-76
23123756000,2-lvl-node-2,-62
23128038000,2-lvl-node-2,-63
23197140000,2-lvl-node-3,-61
23201668000,2-lvl-node-3,-77
23233269000,2-lvl-node-2,-61
23237774000,2-lvl-node-1,-75
23242113000,2-lvl-node-1,-74
23303037000,2-lvl-node-3,-61
23308417000,2-lvl-node-3,-78
23325236000,2-lvl-node-1,-76
23343562000,2-lvl-node-2,-64
23347770000,2-lvl-node-2,-63
23401885000,2-lvl-node-3,-62
23453095000,2-lvl-node-2,-69
23457507000,2-lvl-node-2,-68
23505471000,2-lvl-node-3,-61
23543619000,2-lvl-node-1,-78
23549911000,2-lvl-node-2,-70
23643636000,2-lvl-node-1,-79
23660637000,2-lvl-node-2,-59
23722970000,2-lvl-node-3,-63
23729105000,2-lvl-node-3,-62
23750681000,2-lvl-node-1,-80
23773129000,2-lvl-node-2,-60
23777612000,2-lvl-node-2,-77
23820080000,2-lvl-node-3,-68
23825536000,2-lvl-node-3,-69
23851211000,2-lvl-node-1,-66
23855555000,2-lvl-node-1,-64
23868864000,2-lvl-node-2,-60
23877366000,2-lvl-node-2,-81
23928229000,2-lvl-node-3,-71
23932636000,2-lvl-node-3,-70
23956500000,2-lvl-node-1,-78
23985680000,2-lvl-node-2,-68
24029487000,2-lvl-node-3,-72
24143002000,2-lvl-node-3,-62
24171229000,2-lvl-node-1,-68
24176477000,2-lvl-node-2,-70
24184181000,2-lvl-node-2,-81
24238685000,2-lvl-node-3,-61
24272825000,2-lvl-node-1,-67
24292423000,2-lvl-node-2,-70
24339284000,2-lvl-node-3,-60
24383121000,2-lvl-node-1,-68
24390010000,2-lvl-node-2,-74
24394447000,2-lvl-node-2,-80
24453071000,2-lvl-node-3,-64
24478621000,2-lvl-node-1,-69
24498841000,2-lvl-node-2,-70
24593220000,2-lvl-node-1,-81
24613068000,2-lvl-node-2,-58
24621352000,2-lvl-node-2,-77
24660726000,2-lvl-node-3,-66
24667337000,2-lvl-node-3,-65
24688659000,2-lvl-node-1,-68
24693155000,2-lvl-node-1,-78
24713290000,2-lvl-node-2,-56
24762696000,2-lvl-node-3,-72
24767178000,2-lvl-node-3,-71
24808751000,2-lvl-node-1,-69
24815084000,2-lvl-node-2,-55
24819560000,2-lvl-node-2,-75
24870133000,2-lvl-node-3,-69
24913149000,2-lvl-node-1,-70
24933514000,2-lvl-node-2,-72
24970155000,2-lvl-node-3,-70
25020399000,2-lvl-node-2,-73
25081367000,2-lvl-node-3,-59
